a	@
a.m.	{I`em
abandon	@`b{nd@n
abbreviation	@br\i:vi:`{IS@n
ABC	{Ibi:`si:
abdomen	`{bd@m@n
abide	@`bAed
ability	@`bIl@ti:
ablaze	@`bl{Iz
able	`{Ib@l
abnormal	{b`no:m@l
abnormality	{bno:`m{l@ti:
abolish	@`bOlIS
abominable	@`bOmn@b@l
aborigine	{b@`r\IdZ@ni:
abort	@`bo:t
abortion	@`bo:S@n
about	@`b{Ot
above	@`b6v
abrasion	@`br\{IZ@n
abroad	@`br\o:d
abrupt	@`br\6pt
abscess	`{bses
absent	`{bs@nt
absent-minded	{bs@nt`mAend@d
absolute	`{bs@l}:t
absorb	@b`so:b
absorbed	@bzo:bd
abstract	`{bstr\{kt
absurd	@b`s3:d
abuse	@`bj}:z
academy	@k{d@mi:
accelerate	@k`sel@r\{It
accent	`{ksent
accept	@k`sept
access	`{kses
accident	`{ks@d@nt
accommodate	@`kOm@d{It
accompany	@`k6mp@ni:
accomplice	@`k6mpl@s
accord	@`ko:d
accordingly	@`ko:dINli:
account	@`k6{Ont
accountable	@`k{Ont@b@l
accountant	@`k{Ont@nt
accumulate	@`kj}:mj@l{It
accurate	`{kj@r\@t
accuse	@`kj}:z
accustomed	@`k6st@md
ace	{Is
ache	{Ik
achieve	@`tSi:v
acid	`{s@d
acknowledge	@k`nOlIdZ
acne	`{kni:
acoustics	@`k}:stIks
acquaint	@`kw{Int
acquaintance	@`kw{Int@ns
acquire	@`kwAe@
acquit	@`kwIt
acre	`{Ik@
acrobat	`{kr\@b{t
acronym	`{kr\@nIm
across	@`kr\Os
across-the-board	@`kr\OsD@bo:d
acrylic	@`kr\IlIk
ACT	{Isi:`ti:
act	{kt
action	`{kS@n
activate	`{kt@v{It
active	`{ktIv
activity	{k`tIv@ti:
actor	`{kt@
ACTU	{Isi:ti:`j}:
actual	`{ktS}:@l
actually	`{ktS}:@li:
acupuncture	`{kj@p6NktS@
acute	@`kj}:t
acutely	@`kj}:tli:
AD	{I`di:
ad	{d
adapt	@`d{pt
add	{d
addict	`{dIkt
addicted	@`dIkt@d
addition	@`dIS@n
additive	`{d@tIv
address	@`dr\es
adequate	`{d@kw@t
adhesive	@d`hi:sIv
adjacent	@`dZ{Is@nt
adjective	`{dZ@ktIv
adjourn	@`dZ3:n
adjudicate	@`dZ}:d@k{It
adjust	@`dZ6st
adjustment	@`dZ6stm@nt
admin	`{dmIn
administration	@dmIn@`str\{IS@n
admire	@d`mAe@
admission	@d`mIS@n
admit	@d`mIt
admittance	@d`mIt@ns
adolescence	{d@`les@ns
adopt	@`dOpt
adore	@`do:
adult	`{d6lt
adultery	@`d6lt@r\i:
advance	@d`v{ns
advanced	@d`v{nst
advancement	@d`v{nsm@nt
advantage	@d`v{ntIdZ
adventure	@d`ventS@
adverse	`{dv3:s
adversity	@d`v3:s@ti:
advertise	`{dv@tAez
advertisement	@d`v3:t@sm@nt
advice	@d`vAes
advisable	@d`vAez@b@l
advise	@d`vAez
advocate	`{dv@k{It
aerial	`e:r\i:@l
aerobics	e:`r\@}bIks
aerodrome	`e:r\@dr\@}m
aeroplane	`e:r\@pl{In
aerosol	`e:r\@sOl
affair	@`fe:
affect	@`fekt
affectation	{fek`t{IS@n
affected	@`fekt@d
affection	@`fekS@n
affirm	@`f3:m
affirmative	@`f3:m@tIv
affluent	`{fl}:@nt
afford	@`fo:d
afloat	@`fl@}t
afraid	@`fr\{Id
after	`6:ft@
after-effect	`6:ft@r\@fekt
after-hours	`6:ft@r\{O@z
afterlife	`6:ft@lAef
afternoon	6:ft@`n}:n
aftershave	`6:ft@S{Iv
afterwards	`6:ft@w@dz
again	@`gen
against	@`genst
age	{IdZ
aged	{IdZd
ageing	`{IdZIN
ageism	`{IdZIz@m
agency	`{IdZ@nsi:
agenda	@`dZend@
agent	`{IdZ@nt
aggravate	`{gr\@v{It
aggression	@`gr\eS@n
aggressive	@`gr\esIv
aggro	`{gr\@}
agile	`{dZAel
agitate	`{dZ@t{It
agnostic	{g`nOstIk
ago	@`g@}
agony	`{g@ni:
agree	@`gr\i:
agreement	@`gr\i:m@nt
agriculture	`{gr\@k6ltS@
ahead	@`hed
aid	{Id
AIDS	{Idz
aim	{Im
aimless	`{Iml@s
air	e:
aircon	`e:kOn
airconditioning	`e:k@ndIS@nIN
aircraft	`e:kr\6:ft
airfield	e:fi:ld
airlift	`e:lIft
airline	`e:lAen
airmail	`e:m{Il
airport	`e:po:t
aisle	Ael
ajar	@`dZ6:
Al	{l
Alan	{l@n
alarm	@`l6:m
alarmist	@`l6:m@st
album	`{lb@m
alcohol	`{lk@hOl
alcoholic	{lk@hOlIk
ale	{Il
alert	@`l3:t
alfalfa	{lf{lf@
algebra	`{ldZ@br\@
alias	`{Ili:@s
alibi	`{l@bAe
alien	`{Ili:@n
alienate	`{Ili:@n{It
alight	@`lAet
align	@`lAen
alike	@`lAek
alimony	{l@m@ni:
alive	@`lAev
alkali	`{lk@lAe
all	o:l
allege	@`ledZ
allegiance	@`li:dZ@ns
allegory	`{l@g@r\i:
allergy	`{l@dZi:
alleviate	@`li:vi:{It
alley	`{li:
alliance	@`lAe@ns
alligator	{l@g{It@
allocate	`{l@k{It
allot	@`lOt
allow	@`l{O
allowance	@`l{O@ns
allure	@`l}:@
ally	`{lAe
almighty	o:l`mAeti:
almost	`o:lm@}st
alone	@`l@}n
along	@`lON
aloud	@`l{Od
ALP	{Iel`pi:
alphabet	`{lf@bet
alpine	`{lpAen
Alps	{lps
already	o:l`r\edi:
alright	o:l`r\Aet
also	`o:ls@}
altar	`Olt@
alter	`Olt@
altercation	Olt@`k{IS@n
alternate	Ol`t3:n@t
alternative	Ol`t3:n@tIv
although	o:l`D@}
altitude	`{lt@tj}:d
altogether	o:lt@`geD@
aluminium	{lj@`mIni:@m
always	`o:lw{Iz
AM	{I`em
am	{m
AMA	{Iem`{I
amalgamate	@`m{lg@m{It
amass	@`m{s
amateur	`{m@t@
amaze	@`m{Iz
ambassador	{m`b{s@d@
amber	`{mb@
ambiguous	{m`bIgj}:@s
ambition	{m`bIS@n
amble	`{mb@l
ambulance	`{mbj@l@ns
ambush	`{mbUS
Amelia	@mi:li:@
amenable	@`men@b@l
amend	@`mend
amenity	@`men@ti:
amiable	`{Imi:@b@l
amicable	`{mIk@b@l
ammonia	@`m@}ni:@
ammunition	{mj@`nIS@n
amnesia	{m`ni:Z@
among	@`m6N
amongst	@m6Nkst
amorous	`{m@r\@s
amount	@`m{Ont
amphibian	{mfIbi:@n
ample	`{mp@l
amplify	`{mpl@fAe
amputate	`{mpj@t{It
amputee	{mpj@`ti:
amuse	@`mj}:z
amusement	@`mj}:zm@nt
an	{n
anaemia	@`ni:mi:@
anaesthetic	{n@s`TetIk
anal	`{In@l
analgesic	{n@l`dZi:zIk
analogy	@`n{l@dZi:
analysis	@`n{l@s@s
anarchy	`{n@ki:
anatomy	@`n{t@mi:
ancestor	`{nsest@
anchor	`{Nk@
anchorage	`{Nk@r\IdZ
ancient	`{InS@nt
and	{nd
anecdote	`{n@kd@}t
angel	`{IndZ@l
anger	`{Ng@
angle	`{Ng@l
angry	`{Ngr\i:
anguish	`{NgwIS
animal	`{n@m@l
animated	`{n@m{It@d
animosity	{n@`mOs@ti:
ankle	`{Nk@l
annex	`{neks
annexe	`{neks
annihilate	@`nAe@l{It
anniversary	{n@`v3:s@r\i:
announce	@`n{Ons
annoy	@`noI
annual	`{nj}:@l
anonymous	@`nOn@m@s
another	@`n6D@
answer	`{ns@
answered	{ns@d
ant	{nt
antagonise	{n`t{g@nAez
antagonistic	{nt{g@`nIstIk
antenna	{n`ten@
anthem	`{nT@m
anthropologist	{nTr\@`pOl@dZ@st
anti-	`{nti:
antibiotic	{nti:bAe`OtIk
anticipate	{n`tIs@p{It
anticlockwise	{nti:`klOkwAez
antics	`{ntIks
antidote	`{nti:d@}t
antihistamine	{nti:`hIst@mi:n
antipathy	{n`tIp@Ti:
antipodes	{n`tIp@di:z
antiquated	`{nt@kw{It@d
antique	{n`ti:k
antiseptic	{nt@`septIk
antithesis	{n`tIT@s@s
antler	`{ntl@
antonym	`{nt@nIm
anus	`{In@s
anxious	`{NS@s
any	`eni:
anybody	`eni:bOdi:
anyhow	`eni:h{O
anyone	`eni:w6n
anything	`eni:TIN
anyway	`eni:w{I
anywhere	`eni:we:
Anzac	`{nz{k
apart	@`p6:t
apartheid	@`p6:t{It
apartment	@`p6:tm@nt
apartments	@p6:tm@nts
apathy	`{p@Ti:
ape	{Ip
apex	`{Ipeks
apocalypse	@`pOk@lIps
apologise	@`pOl@dZAez
apology	@`pOl@dZi:
apostle	@`pOs@l
apostrophe	@`pOstr\@fi:
appal	@`po:l
apparatus	{p@`r\6:t@s
apparent	@`p{r\@nt
apparently	@p{r\@ntli:
apparition	{p@`r\IS@n
appeal	@`pi:l
appear	@`pI@
appearance	@`pI@r\@ns
appease	@`pi:z
append	@`pend
appendicitis	@pend@`sAet@s
appendix	@`pendIks
appetising	`{p@tAezIN
appetite	`{p@tAet
applause	@`plo:z
apple	`{p@l
appliance	@`plAe@ns
applicable	@`plIk@b@l
applicant	`{pl@k@nt
apply	@`plAe
appoint	@`poInt
appointment	@`poIntm@nt
appreciate	@`pr\i:Si:{It
apprehend	{pr\@`hend
apprehension	{pr\@`henS@n
apprentice	@`pr\ent@s
approach	@`pr\@}tS
approachable	@`pr\@}tS@b@l
appropriate	@`pr\@}pr\i:@t
approval	@`pr\}:v@l
approve	@`pr\}:v
approximate	@`pr\Oks@m@t
Apr.	`{Ipr\@l
April	`{Ipr\@l
apron	`{Ipr\@n
apt	{pt
aptitude	`{pt@tS}:d
aquarium	@`kwe:r\i:@m
Arabic	`{r\@bIk
arbitrary	`6:b@tr\@r\i:
arbitration	6:b@`tr\{IS@n
arc	6:k
arcade	6:`k{Id
arch	6:tS
archaeologist	6:ki:`Ol@dZ@st
archaic	6:`k{IIk
architect	`6:k@tekt
arduous	`6:dZ}:@s
are	6:
area	`e:r\i:@
arena	@`r\i:n@
arguable	`6:gj}:@b@l
argue	`6:gj}:
argument	`6:gj@m@nt
arise	@`r\Aez
aristocracy	{r\@`stOkr\@si:
arithmetic	@`r\ITm@tIk
ark	6:k
arm	6:m
armchair	`6:mtSe:
armed	6:md
armful	`6:mfUl
armhole	`6:mh@}l
armistice	`6:m@st@s
