'em	@ m
'neath	n i: T
'shun	' S 6 n
'twas	t w O z
'tween	t w i: n
'tween-decks	' t w i: n - d e k s
'twere	t w @@ r\
'twill	t w I l
'twixt	t w I k s t
'twould	t w U d
'un	@ n
A	' {I
A's	' {I z
A-bomb	' {I - b O m
A-bombs	' {I - b O m z
A-level	' {I - l e v - @ l
A-levels	' {I - l e v - @ l z
AA	' {I - ' {I
ABC	' {I b - ' i: s - ' i:
ABCs	' {I b - ' i: s - ' i: z
AD	' {I d - ' i:
AGM	' {I dZ - I - ' e m
AIDS	' {I d z
AWOL	' {I w - O l
Aachen	' 6: k - @ n
Aarhus	' 6: h - }: s
Aaron	' {I r\ - @ n
Abe	' {I b
Abel	' {I b - @ l
Abercarn	' { b - @ k - 6: n
Aberdare	' { b - @ d - ' e@ r\
Aberdeen	' { b - @ d - ' i: n
Abergavenny	' { b - @ g - @ v - ' e n - i:
Abergele	' { b - @ g - ' e l - i:
Abertillery	' { b - @ t - I l - ' e@ r\ - i:
Aberystwyth	' { b - @ r\ - ' I s - t w I T
Abingdon	' { b - I N d - @ n
Abo	' { b - @}
Aborigine	' { b - @ r\ - ' I dZ - @ n - i:
Aborigines	' { b - @ r\ - ' I dZ - @ n - I z
Abos	' { b - @} z
Abraham	' {I b - r\ @ h - { m
Abrams	' {I b - r\ @ m z
Abramson	' {I b - r\ @ m s - @ n
Abu	' { b - }:
Acadia	@ k - ' {I d - I - @
Accor	@ k - ' O r\
Accra	' @ k - ' r\ 6:
Accrington	' { k - r\ I N t - @ n
Achenbaum	' { k - @ n b - o: m
Achille	{ k - ' I l - i:
Achilles	' @ k - ' I l - i: z
Ada	' {I d - @
Adam	' { d - @ m
Addis Ababa	' { d - I s - ' { b - @ b - @
Addressograph	' @ d - ' r\ e s - @} g - r\ 6: f
Addressographs	' @ d - ' r\ e s - @} g - r\ 6: f s
Adelaide	' { d - @ l - {I d
Adm	' { d - m I r\ - @ l
Adrian	' {I d - r\ i@ n
Adventist	' { d - v @ n t - I s t
Adventists	' { d - v @ n t - I s t s
Afghan	' { f - g { n
Afghanistan	' { f - ' g { n - I s - ' t 6: n
Afghanistani	' { f - ' g { n - I s - ' t 6: n - i:
Afghanistanis	' { f - ' g { n - I s - ' t 6: n - I z
Afghans	' { f - g { n z
Africa	' { f - r\ I k - @
African	' { f - r\ I k - @ n
Africans	' { f - r\ I k - @ n z
Afrikaans	' { f - r\ I k - ' 6: n s
Afrikaner	' { f - r\ I k - ' 6: n - @ r\
Afrikaners	' { f - r\ I k - ' 6: n - @ z
Afro	' { f - r\ @}
Afro-	' { f - r\ @}
Afro-American	' { f - r\ @} - @ m - ' e r\ - I k - @ n
Afro-Americans	' { f - r\ @} - @ m - ' e r\ - I k - @ n z
Afro-Asian	' { f - r\ @} - ' {I S - @ n
Afro-wig	' { f - r\ @} - ' w I g
Afro-wigs	' { f - r\ @} - ' w I g z
Agatha	' { g - @ T - @
Aggie	' { g - i:
Agnes	' { g - n I s
Agra	' 6: g - r\ @
Ahmanson	' 6: m - @ n s - @ n
Ahmed	' 6: m - e d
Ahmedabad	' 6: m - ' e d - @ b - { d
Aichi	Ae - ' i: tS - i:
Ailes	' Ae l z
Airdrie	' e@ d - r\ i:
Aireborough	' e@ b - @ r\ - @
Airedale	' e@ d - {I l
Airedales	' e@ d - {I l z
Aires	' {I r\ - i: z
Ajemian	@ dZ - ' I m - I - @ n
Akihito	' { k - i: h - ' i: t - @}
Akron	' { k - r\ O n
Al	' { l
Alabama	' { l - @ b - ' { m - @
Alain	{ l - ' { n
Alan	' { l - @ n
Alaska	' @ l - ' { s - k @
Alaskan	@ l - ' { s - k @ n
Albania	' { l b - ' {I n - i@
Albanian	' { l b - ' {I n - i@ n
Albanians	' { l b - ' {I n - i@ n z
Albert	' { l b - @ t
Alberta	' { l b - ' @@ t - @
Alberto	{ l b - ' @@ t - @}
Albuquerque	' { l b - @ k - ' @@ k - i:
Aldershot	' o: l d - @ S - O t
Alec	' { l - I k
Aleksandr	{ l - e k - ' z { n d - @ r\
Aleppo	' @ l - ' e p - @}
Alessandria	' { l - I s - ' { n d - r\ i@
Alex	' { l - I k s
Alexander	' { l - I g - ' z 6: n d - @ r\
Alexandra	' { l - I g - ' z 6: n d - r\ @
Alexandria	' { l - I g - ' z 6: n d - r\ i@
Alf	' { l f
Alfonsin	{ l f - ' O n s - @ n
Alfred	' { l f - r\ I d
Alfredo	{ l f - ' r\ {I d - @}
Alfreton	' o: l f - r\ I t - @ n
Alger	' { l dZ - @ r\
