AIDS	' {I d z
AM	 ' {I- ' e m
African	 ' { f - r\ I - k @ n
American	@ - m @ - ' r\ I - k @ n
Arab	 ' { - r\ @ b
Asian	 ' {I- z @ n
Bible	 ' b Ae - b I l
British	' b r\ I - t I S
CEO	 ' s i: - i: - @}
Canadian	  ' k { - n {I - d i: - @ n
Catholic	' k { - T O - l I k
Chinese	 ' tS Ae - n i: z
Christian	 ' k r\ I s - tS  @ n
Christianity	 ' k r\ I s - tS i: - ' { n - I - t i:
Christmas	 ' k r\ I s - m @ s
Congress	' k O N - g r\ e s
Cuban	' k j }: - b @ n
DNA	' d i:- e n - {I
Democrat	 ' d e m -  @ - k r\ { t
Dutch	' d 6 tS
English	I N - ' g l I S
European	 ' j }: - r\ @} - p i: - @ n
French	' f r\ e n tS
German	' dZ 3: - m @ n
God	' g O d
Greek	' g r\ i: k
Hispanic	 h I s - ' p { n -  I k
I	 'Ae
Indian	' I n - d i: - @ n
Internet	 ' I n - t @ - n e t
Iraqi	i: - ' r\ 6: - k  i:
Irish	' I - r\ I S
Islam	' I s - l { m
Islamic	 I s - ' l { m - I k
Israeli	 I s - ' r\ {I - l i:
Italian	 I - ' t{ - l i: - @ n
Japanese	 ' dZ { - p @ n i: z
Jew	 ' dZ j }:
Jewish	 ' dZ j {;- I S
Korean	 k o: - ' r\ i: - @ n
Latin	' l { - t I n
Mexican	' m e k - s I - k @ n
Mr	' m I s - t @
Mrs	' m I s - @ z
Ms	' m I z
Muslim	' m 6 s - l I m
OK	 @} - ' k {I
Olympic	 O - ' l i: m - p I k
Olympics	 O - ' l i: m - p I k s
PC	' p i: - ' s i:
PM	' p i: - ' e m
Palestinian	 'p { l - @  - 's t I n -  i: - @ n
Persian	' p 3: - s @ n
Republican	 r\ I - ' p 6 b - l @ - k @ n
Roman	' r\ @} - m @ n
Russian	' r\ 6 - S @ n
Senate	' s e - n {I t
Soviet	 ' s @} - v i: - @ t
Spanish	' s p { n -  I S
Supreme	s @ - ' p r\ i: m
T	' t i:
TV	' t i: - ' v i:
Thanksgiving	 ' T { N  k s - ' g I v -  I N
United	' j }: - n Ae - t @ d
absence	' { b - s e n s
absolutely	' { b -  s @ - ' l }: t -  l i:
academic	 ' { - k @ - ' d e - m I k
acceptable	 { k -  ' s e p - t @ - b @ l
acceptance	{ k -  ' s e p - t @ n s
accessible	{k  - ' s e s -  @ b - @  l
accomplish	@ - ' k O m - p l I S
accomplishment	@ - ' k O m - p l I S - m @ n t
accountability	@ - ' k {O n - t @ - ' b I - l @ - t i:
accuracy	'{ k - j }: - r\ @ - s i:
accurately	' { k - j  }: - r\ @ t - l i:
accusation	'{ k -  j }: - ' s {I - S @ n
achievement	 @ - ' tS i: v - m @ n t
acquisition	 '{ k - w I - ' z I - S @ n
actively	' { k - t I v - l i:
activist	' { k - t I - v I s t
actress	' { k - t r\ e s
added	' { - d @ d
additional	@ - ' d I S - n @ l
administer	@ d- ' m I n -  I s - t @
administrative	@ d - ' m I n -  I s - ' t r\ {I - t I v
administrator	@ d - ' m I n -  I s - ' t r\ {I - t @
adolescent	' { - d O - ' l e s- @ n t
adoption	@ - ' d O p - S @ n
adviser	@ d - ' v Ae - z @
aesthetic	{ s - ' T e t -  I k
afterward	' 6: f - t @ - w @ d
agricultural	' { g - r\ I - ' k O l - tS @ - r\ @ l
ah	' 6: 
airplane	' e - r\ @ - ' p l {I n
allegation	 ' { - l @ - ' g {I - S @ n
alleged	 6 -  ' l e dZ d
allegedly	 6 - ' l e dZ - @ d - l i:
alongside	 { - ' l O N - s Ae d
aluminum	 ' { - l }: - ' m I n - j @ m
ambitious	' { m - b I - S @ s
amendment	@ - ' m e n d -  m @ n t
amid	' @ - ' m I d
analyst	' { n - @ - ' l I s t
analyse	 ' { n - @ - ' l Ae z
announcement	 @ - ' n {O n s - m @ n t
annually	 ' { n - j @ - l i:
anxiety	 { N - ' z Ae - @ - t i:
anymore	 ' e - n i: - m o:
apologise	@ - ' p O - l @ - dZ Ae z
application	' { - p l @ - ' k {I - S @ n
appreciation	@ - ' p r\ i: - S i: - ' {I S - @ n
approximately	@ - ' p r\ O k - s @ - ' m {I t - l i:
architecture	 ' 6: - k I: - ' t e k - tS @
articulate	 6: - 't I k - j @ - l {I t
artifact	' 6: - t @ - f { k t
artistic	' 6: - t I s - t I k
assessment	@ - ' s e s - m @ n t
assistance	@ - ' s I s - t @ n s
associated	@ - ' s @} - S i: - ' {I - t @ d
assumption	@ - ' S 6 m p - S @ n
astronomer	' { s - t r\ @ - ' n O - m @
athletic	{ T - ' l @ t -  I k
atop	@ - ' t O p
attendance	@ - ' t e n - d @ n s
attorney	@ - ' t o: - n i:
attraction	@ - ' t r\ { k - S @ n
authorise	' o: - T o: - r\ Ae z
auto	' o: - t @}
automatically	 ' o: - t @} - ' m { - t I k - l i:
autonomy	' o: - t @ - n @ - m i:
availability	@ - ' v {I - l @ - ' b I - l @ - t i:
awareness	@ - ' w e: -  n @ s
ball	 ' b o: l
balloon	' b { - l }: n
banana	 b { -' n 6: - n @
banker	' b { N - k @
bankruptcy	 ' b { N k - r\ 6 p t- s i:
basically	 ' b {I - s I k - l i:
battery	' b { - t @ - r\ i:
behaviour	b I - ' h {I - v i: - @
behavioural	b I  -' h {I - v i: - @ - r\ @ l
biological	 ' b Ae - @ - ' l O - dZ I-  k @ l
biology	  b Ae - ' O l- @ - dZ i:
briefly	' b r\ i: - f l i:
builder	 ' b I l - d @
businessman	 ' b I z - n e s - m @ n
buyer	 ' b Ae - j @
calculation	 ' k { l - k j @ - ' l {I - S @ n
called	 ' k o: l d
candy	' k { n - d i:
capability	 ' k {I - p @ - ' b I - l @ - t i:
carefully	 ' k I@ f -  l i:
carrot	' k { - r\ O t
catalogue	 ' k { - t @ - l O g
celebration	 ' s { l - @- ' b r\ {I - S @ n
centre	' s e n - t @
championship	 ' tS { m - p i: @ n - ' S I p
characterise	 ' k { - r\ { k - t @ - ' r\ Ae z
childhood	 ' tS Ae l d - h U d
cite	' s Ae t
citizenship	 ' s I - t @ - z e n - ' S I p
civilization	 ' s I - v I - l Ae - ' z {I - S @ n
class	' k l 6: s
classical	 ' k l { - s I - k @ l
clearly	' k l I@ - l i:
clinical	 ' k l I - n I - k @ l
closed	' k l @} z d
closely	 ' k l @} s - l i:
closer	 ' k l @} - s @
closest	 ' k l @} - s e s t
coastal	 ' k @} - s t @ l
cognitive	' k O g - n I - t I v
collaboration	k @ - ' l { - b @ - ' r\ {I - S @ n
collection	k @ - ' l e k - S @ n
colonial	 k 6 - ' l @} - n i: - @ l
colour	' k 6 - l @
colourful	 ' k 6 - l @ - f U l
columnist	' k O - l 6 m - n I s t
combined	k @ m - ' b Ae n d
commander	k @ - 'm 6: n - d @
commonly	' k O - m @ n - l i:
comparable	k @ m - 'p { - r\ @ - b @ l
compensation	' k O m - p e n - 's {I - S @ n
competitor	k @ m - ' p e - t I - t @
completely	k @ m - ' p l i: t - l i:
complexity	k @ m - ' p l e k - s @ - t i:
compliance	k @ m - ' p l Ae - @ n s
